lead_id,company_name,zip_code,lead_source,lead_status,industry,company_size,deal_value,sales_rep,created_date,close_date
LEAD-000022,"Edwards, Rios and Foster",72540,Website,New,Manufacturing,11-50,24880,Carol Williams,2024-12-21,
LEAD-000023,"Ellis, Baker and Wright",11218,Website,Qualified,Finance,51-200,40651,Bob Martinez,2024-08-06,
LEAD-000024,"Baker, Richards and Hurst",50325,Website,Opportunity,Retail,201-500,94280,Alice Chen,2024-06-04,
LEAD-000025,Robinson-Bright,52074,Referral,Won,Retail,11-50,17543,David Johnson,2024-07-16,2024-12-01
LEAD-000026,Davis-Williams,32548,Partner,New,Other,51-200,48885,Eva Rodriguez,2024-02-12,
LEAD-000027,Burton Ltd,72204,Website,Won,Retail,11-50,20250,Bob Martinez,2024-06-12,2024-10-19
LEAD-000028,"Brown, James and Ferrell",75207,Referral,Qualified,Healthcare,11-50,16611,Carol Williams,2024-07-24,
LEAD-000029,Maddox-Valencia,98134,Referral,New,Other,11-50,11229,Carol Williams,2024-01-05,
LEAD-000030,"Le, Maldonado and Herrera",38611,Website,Qualified,Technology,51-200,57419,Bob Martinez,2024-04-13,
LEAD-000031,"Peterson, Carter and Moore",56658,Referral,New,Technology,11-50,19040,Eva Rodriguez,2024-01-02,
LEAD-000032,"Liu, Baker and Mason",47840,Referral,Lost,Finance,51-200,64895,Bob Martinez,2024-03-10,2024-05-07
LEAD-000033,"Gaines, Harrell and Evans",81090,Website,New,Professional Services,1-10,2311,Eva Rodriguez,2024-09-05,
LEAD-000034,"Lynch, Hernandez and Farmer",87513,Website,Won,Retail,51-200,42257,Bob Martinez,2024-07-28,2024-10-15
LEAD-000035,"Sellers, George and Burns",18334,Event,Qualified,Other,51-200,36988,David Johnson,2024-02-13,
LEAD-000036,Koch-Decker,58755,Event,Won,Manufacturing,51-200,37717,Bob Martinez,2024-04-29,2024-10-18
LEAD-000037,Brown PLC,35765,Cold Outbound,Opportunity,Finance,500+,515143,Carol Williams,2024-01-31,
LEAD-000038,Dennis Inc,36527,Event,Qualified,Healthcare,51-200,40550,Alice Chen,2024-10-22,
LEAD-000039,"Cannon, Anderson and Alvarez",67072,Referral,Won,Professional Services,11-50,14531,David Johnson,2024-08-01,
LEAD-000040,Baker PLC,88130,Referral,Opportunity,Technology,500+,641671,David Johnson,2024-06-13,
LEAD-000041,Hickman Ltd,46779,Referral,Opportunity,Healthcare,11-50,12121,Alice Chen,2024-09-24,
LEAD-000042,Marquez Group,45406,Website,Qualified,Other,201-500,151552,Eva Rodriguez,2024-09-17,
LEAD-000043,"Brooks, Lam and Hayes",63782,Partner,Won,Technology,11-50,19861,Carol Williams,2024-04-06,2024-07-30
LEAD-000044,Brown Inc,29943,Content,New,Technology,51-200,45109,Carol Williams,2024-08-16,
LEAD-000045,"Hall, Robinson and Jones",58448,Cold Outbound,Opportunity,Other,51-200,67898,Alice Chen,2024-09-02,
LEAD-000046,Perez Inc,33413,Website,New,Retail,51-200,48777,Alice Chen,2024-11-29,
LEAD-000047,Jones-Young,42280,Event,Lost,Professional Services,11-50,21167,Carol Williams,2024-09-16,2024-11-08
LEAD-000048,Lewis-Anderson,25169,Website,Opportunity,Professional Services,201-500,70722,Alice Chen,2024-12-29,
LEAD-000049,"Johnston, Sanchez and Kennedy",16917,Website,New,Technology,51-200,67852,Carol Williams,2024-06-07,
LEAD-000050,Davis Ltd,57383,Cold Outbound,Opportunity,Professional Services,201-500,221582,Alice Chen,2024-06-16,
LEAD-000051,Henderson-Owens,33565,Cold Outbound,Qualified,Retail,1-10,8701,Carol Williams,2024-10-10,
LEAD-000052,Nunez Ltd,56170,Referral,Qualified,Technology,500+,248841,Carol Williams,2024-02-08,
LEAD-000053,Powell LLC,75680,Website,Qualified,Other,1-10,5033,David Johnson,2024-11-06,
LEAD-000054,Wright and Sons,95448,Event,New,Technology,500+,534590,Alice Chen,2024-07-27,
LEAD-000055,Taylor-White,12195,Website,New,Finance,1-10,6906,Alice Chen,2024-06-28,
LEAD-000056,Baxter Inc,62549,Event,Lost,Technology,11-50,14460,Bob Martinez,2024-06-21,2024-10-11
LEAD-000057,"Garcia, Pearson and Fernandez",94607,Referral,Qualified,Finance,500+,398967,Bob Martinez,2024-01-06,
LEAD-000058,House and Sons,12521,Referral,Opportunity,Retail,51-200,53240,Eva Rodriguez,2024-03-05,
LEAD-000059,Tucker-Lewis,46321,Referral,New,Technology,1-10,2955,Eva Rodriguez,2024-06-04,
LEAD-000060,Martin Inc,65037,Cold Outbound,Opportunity,Professional Services,51-200,52083,Bob Martinez,2024-05-31,
LEAD-000061,House-Glover,48442,Website,Won,Professional Services,201-500,136223,David Johnson,2024-04-20,2024-09-28
LEAD-000062,Horton-Cross,21727,Website,Opportunity,Manufacturing,11-50,18259,Bob Martinez,2024-10-31,
LEAD-000063,"Stanley, Tucker and Lee",97020,Website,Opportunity,Retail,1-10,9018,David Johnson,2024-03-25,
LEAD-000064,Riley PLC,47857,Website,Opportunity,Finance,1-10,1934,David Johnson,2024-01-24,
LEAD-000065,"Edwards, Williams and Woods",35456,Website,Lost,Technology,11-50,5899,Carol Williams,2024-12-23,
LEAD-000066,"Moore, Yu and Miller",26138,Content,Qualified,Manufacturing,1-10,6958,Carol Williams,2024-03-13,
LEAD-000067,Larson Ltd,89319,Website,New,Technology,51-200,51076,David Johnson,2024-11-30,
LEAD-000068,Powell PLC,58362,Referral,Won,Technology,51-200,60940,Bob Martinez,2024-04-05,2024-06-01
LEAD-000069,"Wheeler, Harvey and Barnes",18451,Website,Opportunity,Healthcare,11-50,20487,Carol Williams,2024-08-14,
LEAD-000070,"Mills, Donovan and Harris",84735,Referral,Qualified,Retail,11-50,13291,Alice Chen,2024-10-05,
LEAD-000071,Allen-Foster,92675,Website,Lost,Finance,201-500,115617,Alice Chen,2024-09-17,2024-12-21
LEAD-000072,"Evans, Stewart and Walton",59421,Website,Qualified,Finance,201-500,198258,David Johnson,2024-01-29,
LEAD-000073,Ellis PLC,65347,Partner,Qualified,Manufacturing,1-10,5150,Eva Rodriguez,2024-02-08,
LEAD-000074,Medina PLC,77051,Referral,Qualified,Manufacturing,1-10,4765,Carol Williams,2024-04-12,
LEAD-000075,Mahoney Inc,16434,Event,Opportunity,Retail,11-50,8818,Carol Williams,2024-12-07,
LEAD-000076,Wood and Sons,54006,Cold Outbound,Qualified,Professional Services,201-500,155690,Alice Chen,2024-06-19,
LEAD-000077,"Warner, Carr and Archer",90706,Referral,Qualified,Manufacturing,500+,366798,Carol Williams,2024-09-10,
LEAD-000078,"Smith, Montoya and Evans",62312,Website,Opportunity,Healthcare,51-200,60029,Eva Rodriguez,2024-09-14,
LEAD-000079,Mcmillan and Sons,62861,Partner,New,Manufacturing,201-500,135438,Eva Rodriguez,2024-04-12,
LEAD-000080,Preston Ltd,33134,Partner,Qualified,Manufacturing,500+,725815,Eva Rodriguez,2024-08-02,
LEAD-000081,Nelson PLC,53098,Event,New,Professional Services,500+,503900,Eva Rodriguez,2024-03-22,
LEAD-000082,"Cooper, Watts and Farrell",62998,Cold Outbound,New,Finance,1-10,5118,Eva Rodriguez,2024-07-15,
LEAD-000083,King-Odonnell,87729,Website,Opportunity,Retail,1-10,4487,Carol Williams,2024-01-20,
LEAD-000084,Walters LLC,48476,Website,Opportunity,Retail,1-10,5430,Bob Martinez,2024-01-18,
LEAD-000085,Cook and Sons,75043,Referral,Lost,Technology,500+,728391,Alice Chen,2024-09-04,2024-12-15
LEAD-000086,Martin-Ramos,13787,Referral,Lost,Finance,11-50,9232,Alice Chen,2024-10-01,
LEAD-000087,Hoffman-Rodriguez,99033,Partner,Opportunity,Healthcare,11-50,12271,David Johnson,2024-12-08,
LEAD-000088,"Mckee, Gardner and Davenport",53935,Website,Qualified,Professional Services,51-200,38985,David Johnson,2024-08-14,
LEAD-000089,"Hernandez, Anderson and Parker",20906,Website,Won,Finance,11-50,19326,Carol Williams,2024-12-15,
LEAD-000090,Nolan and Sons,50479,Cold Outbound,Qualified,Other,51-200,39105,Carol Williams,2024-09-21,
LEAD-000091,Estrada LLC,50533,Event,Won,Healthcare,51-200,23456,Bob Martinez,2024-10-29,
LEAD-000092,"Henson, Russell and Oliver",85388,Partner,Won,Professional Services,11-50,9177,Alice Chen,2024-03-01,2024-08-23
LEAD-000093,Hancock and Sons,55391,Referral,Opportunity,Healthcare,1-10,4746,David Johnson,2024-12-08,
LEAD-000094,Johnson-Doyle,24378,Event,Opportunity,Healthcare,51-200,30330,Bob Martinez,2024-05-09,
LEAD-000095,Pham-Shields,75605,Referral,Qualified,Professional Services,11-50,17457,Eva Rodriguez,2024-11-10,
LEAD-000096,Adams Ltd,78347,Content,Opportunity,Healthcare,51-200,55742,David Johnson,2024-02-11,
LEAD-000097,Brennan-Garrison,28510,Website,Qualified,Professional Services,201-500,248169,Alice Chen,2024-03-27,
LEAD-000098,Velasquez Group,54983,Partner,Won,Other,51-200,43553,Carol Williams,2024-05-15,2024-08-20
LEAD-000099,Hoover-Savage,72178,Referral,Qualified,Manufacturing,51-200,27484,Alice Chen,2024-03-27,
LEAD-000100,Keller Group,98354,Referral,Qualified,Professional Services,1-10,6822,Alice Chen,2024-05-07,
LEAD-000101,Lin-Rasmussen,08090,Referral,Qualified,Finance,51-200,53566,Bob Martinez,2024-04-18,
LEAD-000102,May-Ross,63014,Website,Won,Professional Services,500+,353805,David Johnson,2024-11-23,
LEAD-000103,"Rivera, Johnson and Wiley",03820,Referral,Qualified,Manufacturing,500+,525387,David Johnson,2024-04-11,
LEAD-000104,Carpenter LLC,62084,Referral,Opportunity,Professional Services,11-50,4040,Eva Rodriguez,2024-01-15,
LEAD-000105,Carlson LLC,70129,Content,Opportunity,Finance,201-500,163899,David Johnson,2024-10-09,
LEAD-000106,Graham-Joyce,97639,Partner,Opportunity,Finance,1-10,5517,Carol Williams,2024-02-14,
LEAD-000107,Lam-Lee,38115,Website,Opportunity,Finance,51-200,48085,Bob Martinez,2024-01-18,
LEAD-000108,"Graham, Meyer and Drake",06605,Referral,Qualified,Manufacturing,11-50,9401,Carol Williams,2024-09-23,
LEAD-000109,"Bentley, Mclaughlin and Gonzalez",19733,Partner,New,Other,1-10,5224,Bob Martinez,2024-06-16,
LEAD-000110,Rush LLC,16321,Referral,New,Manufacturing,500+,397037,Carol Williams,2024-08-30,
LEAD-000111,Alvarado-Martinez,65626,Partner,Opportunity,Manufacturing,11-50,11319,Eva Rodriguez,2024-12-15,
LEAD-000112,Hunter-Estrada,61359,Event,Lost,Technology,1-10,5363,Eva Rodriguez,2024-05-06,2024-07-21
LEAD-000113,Terry-Spencer,81129,Website,Opportunity,Retail,11-50,12225,Carol Williams,2024-03-15,
LEAD-000114,Ortega-Gray,87419,Event,New,Professional Services,51-200,30596,Bob Martinez,2024-10-17,
LEAD-000115,Gilbert LLC,81653,Website,Opportunity,Professional Services,51-200,50450,Bob Martinez,2024-06-06,
LEAD-000116,"Bass, Torres and Clark",45620,Website,Opportunity,Retail,201-500,230223,Bob Martinez,2024-11-01,
LEAD-000117,"Lawson, Morris and Ramos",52207,Referral,Qualified,Finance,1-10,4223,David Johnson,2024-09-19,
LEAD-000118,Dixon Ltd,30516,Referral,Won,Retail,1-10,4678,Bob Martinez,2024-03-06,2024-08-20
LEAD-000119,"Miller, Robertson and Schultz",02357,Partner,Won,Retail,1-10,4400,Alice Chen,2024-05-10,2024-09-06
LEAD-000120,Cardenas and Sons,70030,Event,Qualified,Retail,51-200,49573,David Johnson,2024-09-18,
LEAD-000121,Walker-Gonzalez,61275,Partner,Won,Manufacturing,1-10,6575,Eva Rodriguez,2024-01-10,2024-05-03
LEAD-000122,Sanchez Group,03047,Partner,Opportunity,Finance,11-50,13092,Eva Rodriguez,2024-08-25,
LEAD-000123,Gibson Ltd,02720,Website,New,Technology,201-500,238130,David Johnson,2024-08-11,
LEAD-000124,Higgins Group,41859,Website,Qualified,Other,500+,592601,Eva Rodriguez,2024-07-10,
LEAD-000125,Sanchez-Douglas,36921,Website,Opportunity,Manufacturing,51-200,43140,Carol Williams,2024-01-03,
LEAD-000126,Osborne and Sons,53179,Partner,Opportunity,Manufacturing,51-200,39121,Eva Rodriguez,2024-03-09,
LEAD-000127,"Holmes, Williams and Wright",45325,Referral,Opportunity,Professional Services,1-10,6705,Alice Chen,2024-11-25,
LEAD-000128,Bryant Group,04032,Event,Opportunity,Other,500+,301402,David Johnson,2024-09-16,
LEAD-000129,"Travis, Larson and Dodson",11363,Referral,Qualified,Professional Services,51-200,103140,Eva Rodriguez,2024-12-12,
LEAD-000130,Salazar-Ball,95957,Partner,Qualified,Manufacturing,1-10,6185,Carol Williams,2024-07-15,
LEAD-000131,Rivas-Kelley,07758,Website,Qualified,Healthcare,11-50,8973,Eva Rodriguez,2024-12-14,
LEAD-000132,Manning Group,15824,Cold Outbound,Opportunity,Finance,11-50,17024,Eva Rodriguez,2024-06-23,
LEAD-000133,Walton-Larsen,08804,Event,Opportunity,Finance,11-50,10205,David Johnson,2024-04-17,
LEAD-000134,"Washington, Allen and Gonzales",02568,Partner,Opportunity,Professional Services,201-500,146391,Eva Rodriguez,2024-10-04,
LEAD-000135,Young-Rogers,52215,Partner,Qualified,Healthcare,11-50,12483,Bob Martinez,2024-12-12,
LEAD-000136,"Miller, Hernandez and Reyes",51431,Content,Lost,Technology,1-10,4153,Alice Chen,2024-02-29,2024-08-18
LEAD-000137,"Lewis, Perry and Rivera",68755,Website,Opportunity,Healthcare,1-10,3034,David Johnson,2024-06-29,
LEAD-000138,Brown-Wall,03106,Website,Qualified,Technology,11-50,14293,David Johnson,2024-05-31,
LEAD-000139,"Shah, Smith and Gilmore",84643,Website,New,Other,11-50,12278,Eva Rodriguez,2024-08-11,
LEAD-000140,Woods-Bender,32246,Referral,Won,Manufacturing,11-50,13294,David Johnson,2024-04-25,2024-08-17
LEAD-000141,Castaneda-Ashley,88029,Event,Won,Retail,500+,373390,Alice Chen,2024-06-11,2024-09-25
LEAD-000142,"Adkins, Payne and Morrison",13140,Event,Qualified,Other,51-200,53922,Eva Rodriguez,2024-03-26,
LEAD-000143,Robinson-Graham,50511,Website,New,Manufacturing,201-500,81636,Carol Williams,2024-01-12,
LEAD-000144,Rogers-Shelton,48808,Website,Won,Retail,11-50,12870,Alice Chen,2024-06-06,2024-09-11
LEAD-000145,"Martin, Mcdonald and Anderson",89054,Website,Lost,Other,51-200,35088,Carol Williams,2024-08-29,2024-12-22
LEAD-000146,"Johnson, Long and Elliott",12427,Website,Opportunity,Retail,1-10,5927,Alice Chen,2024-01-11,
LEAD-000147,Day and Sons,15945,Website,Lost,Professional Services,11-50,11798,Bob Martinez,2024-12-02,
LEAD-000148,White-Green,61030,Cold Outbound,Opportunity,Other,11-50,9583,Alice Chen,2024-05-07,
LEAD-000149,Gibson LLC,41397,Website,Opportunity,Technology,11-50,21908,Carol Williams,2024-10-22,
LEAD-000150,Ramirez-Bean,15458,Website,Lost,Finance,1-10,4010,Bob Martinez,2024-06-12,2024-08-11
LEAD-000151,Conley-Ruiz,43463,Website,Won,Professional Services,51-200,76122,David Johnson,2024-10-17,
LEAD-000152,"Williams, Crane and Walker",84779,Cold Outbound,Opportunity,Professional Services,201-500,189701,Bob Martinez,2024-01-27,
LEAD-000153,"Williams, Johnson and Wright",87121,Website,New,Manufacturing,11-50,18329,David Johnson,2024-11-21,
LEAD-000154,Howell and Sons,59914,Event,Won,Professional Services,51-200,37980,Bob Martinez,2024-02-19,2024-04-22
LEAD-000155,Caldwell-Elliott,97022,Website,Lost,Finance,51-200,76984,Eva Rodriguez,2024-03-25,2024-05-12
LEAD-000156,Lyons-Wang,04988,Cold Outbound,Qualified,Other,51-200,47178,Eva Rodriguez,2024-03-06,
LEAD-000157,"Lawson, Adkins and Wilson",99343,Partner,New,Technology,11-50,19061,Carol Williams,2024-11-14,
LEAD-000158,Oconnell Inc,43001,Cold Outbound,Opportunity,Professional Services,51-200,12474,Alice Chen,2024-08-12,
LEAD-000159,Hickman PLC,45244,Event,New,Finance,51-200,49256,Eva Rodriguez,2024-09-20,
LEAD-000160,Sanders-Espinoza,26419,Cold Outbound,Qualified,Professional Services,11-50,16440,Eva Rodriguez,2024-01-30,
LEAD-000161,"Vaughn, Burton and Garcia",15521,Event,Opportunity,Retail,11-50,15391,David Johnson,2024-10-27,
LEAD-000162,Jefferson-Burke,62693,Website,New,Retail,51-200,53484,Alice Chen,2024-02-17,
LEAD-000163,"Patton, Reed and Patterson",06516,Website,Opportunity,Retail,51-200,32269,Bob Martinez,2024-05-23,
LEAD-000164,Hunter LLC,35577,Cold Outbound,Qualified,Technology,201-500,127806,Eva Rodriguez,2024-01-05,
LEAD-000165,Short-Garcia,16151,Cold Outbound,Qualified,Professional Services,51-200,53313,Alice Chen,2024-05-20,
LEAD-000166,"Snow, Stevens and Hernandez",23357,Website,New,Professional Services,51-200,70400,Carol Williams,2024-03-09,
LEAD-000167,"Boyd, Santos and Gilbert",34224,Website,Won,Retail,11-50,15241,Bob Martinez,2024-12-23,
LEAD-000168,"Hampton, Marshall and Petersen",28572,Cold Outbound,Lost,Other,51-200,107355,Eva Rodriguez,2024-08-18,2024-11-30
LEAD-000169,Morris-Sanchez,31836,Referral,New,Finance,51-200,43175,Eva Rodriguez,2024-12-28,
LEAD-000170,Ramirez Group,83274,Website,Won,Other,500+,629973,David Johnson,2024-04-04,2024-06-19
LEAD-000171,Hudson-Barnett,66040,Cold Outbound,Won,Manufacturing,51-200,69233,Bob Martinez,2024-05-10,2024-07-04
LEAD-000172,Snyder LLC,48014,Referral,Opportunity,Retail,500+,441753,David Johnson,2024-03-11,
LEAD-000173,Lewis-Salinas,45841,Website,Lost,Professional Services,11-50,17717,Carol Williams,2024-05-12,2024-08-27
LEAD-000174,Beard-Haynes,76380,Partner,Lost,Healthcare,11-50,15609,David Johnson,2024-04-17,2024-09-15
LEAD-000175,"Smith, Vaughan and Miller",61041,Referral,Lost,Finance,51-200,54809,Bob Martinez,2024-10-06,2024-12-09
LEAD-000176,Freeman-Chang,17323,Referral,Qualified,Finance,11-50,12286,Carol Williams,2024-09-25,
LEAD-000177,Brewer-Henry,04952,Content,Lost,Retail,51-200,47188,Carol Williams,2024-11-03,
LEAD-000178,Davis and Sons,71847,Referral,New,Technology,11-50,16629,Eva Rodriguez,2024-06-06,
LEAD-000179,"Sanchez, Beck and Wood",95035,Website,Lost,Retail,51-200,49613,Alice Chen,2024-08-02,2024-12-08
LEAD-000180,"Cooper, Barajas and Pierce",15101,Cold Outbound,New,Professional Services,500+,282468,Eva Rodriguez,2024-05-16,
LEAD-000181,"Chavez, Parker and Hall",73668,Website,New,Retail,51-200,60874,David Johnson,2024-10-07,
LEAD-000182,Stewart Ltd,86411,Website,Won,Other,1-10,5375,Alice Chen,2024-07-27,2024-11-21
LEAD-000183,"Lopez, Robinson and Washington",25544,Referral,Lost,Finance,51-200,66162,Bob Martinez,2024-10-08,2024-12-27
LEAD-000184,"Bray, Warren and Campbell",14463,Website,Opportunity,Healthcare,11-50,13171,Bob Martinez,2024-02-09,
LEAD-000185,Phillips LLC,43154,Referral,New,Technology,51-200,63318,David Johnson,2024-03-10,
LEAD-000186,Smith-Ferguson,39325,Referral,New,Technology,1-10,5048,Alice Chen,2024-04-16,
LEAD-000187,Mccann PLC,34769,Event,Opportunity,Finance,51-200,41607,David Johnson,2024-04-23,
LEAD-000188,"Raymond, Little and Mullins",93605,Website,Opportunity,Professional Services,201-500,68357,Carol Williams,2024-02-09,
LEAD-000189,Andrews Group,99705,Event,Opportunity,Other,500+,491402,David Johnson,2024-07-04,
LEAD-000190,Peterson-Sheppard,20874,Website,Won,Healthcare,11-50,13961,Eva Rodriguez,2024-04-08,2024-09-29
LEAD-000191,Wilson-Jones,21201,Website,Won,Retail,201-500,124073,David Johnson,2024-07-09,2024-11-05
LEAD-000192,Ray Ltd,85929,Website,Opportunity,Retail,51-200,54799,Alice Chen,2024-01-21,
LEAD-000193,Hernandez PLC,40211,Event,Lost,Retail,51-200,52778,Alice Chen,2024-04-27,2024-10-05
LEAD-000194,Mcknight Inc,47334,Cold Outbound,Opportunity,Professional Services,11-50,17772,Alice Chen,2024-08-04,
LEAD-000195,Obrien-Gibbs,40142,Website,Won,Retail,11-50,14596,Eva Rodriguez,2024-03-28,2024-07-26
LEAD-000196,"James, Kerr and Evans",49333,Referral,New,Healthcare,51-200,36117,David Johnson,2024-08-16,
LEAD-000197,Torres-Oliver,05701,Cold Outbound,Qualified,Healthcare,1-10,7489,Alice Chen,2024-08-24,
LEAD-000198,"Garcia, Farmer and Garrett",60005,Event,Qualified,Healthcare,11-50,18156,Carol Williams,2024-04-12,
LEAD-000199,"Miller, Allen and Arnold",46176,Cold Outbound,Opportunity,Technology,51-200,77406,Bob Martinez,2024-03-01,
LEAD-000200,Ortiz Ltd,73568,Event,Lost,Other,201-500,119288,David Johnson,2024-08-18,2024-11-06
LEAD-000201,Carter-Hall,63388,Event,Qualified,Other,201-500,183309,Bob Martinez,2024-10-01,
LEAD-000202,Warner-Gibson,93242,Partner,Qualified,Technology,500+,534812,Alice Chen,2024-09-23,
LEAD-000203,Bradshaw Ltd,15701,Website,New,Technology,11-50,8207,Alice Chen,2024-08-17,
LEAD-000204,"Lara, Gonzalez and Wilson",79527,Website,Qualified,Healthcare,11-50,26559,Eva Rodriguez,2024-03-28,
LEAD-000205,"Hernandez, Baker and Thomas",18088,Referral,New,Finance,1-10,4434,Eva Rodriguez,2024-01-24,
LEAD-000206,Sparks PLC,43140,Website,Opportunity,Other,11-50,24864,Alice Chen,2024-10-17,
LEAD-000207,"Morse, Gonzales and Harrison",50247,Website,New,Healthcare,51-200,32941,David Johnson,2024-04-28,
LEAD-000208,"Powell, Nelson and Fernandez",24565,Website,New,Technology,11-50,4012,Eva Rodriguez,2024-06-19,
LEAD-000209,George Group,79379,Event,Won,Other,51-200,69034,David Johnson,2024-10-12,2024-11-28
LEAD-000210,Munoz-Johnson,33607,Referral,Opportunity,Other,51-200,56279,Alice Chen,2024-03-29,
LEAD-000211,"Huff, Johnston and Sampson",30327,Website,Won,Finance,11-50,19291,Bob Martinez,2024-10-24,
LEAD-000212,"Underwood, Johnston and Hines",42459,Referral,Qualified,Retail,51-200,39925,Carol Williams,2024-03-09,
LEAD-000213,Stone-Ramos,25140,Referral,Qualified,Manufacturing,500+,460263,Bob Martinez,2024-04-18,
LEAD-000214,Shea Group,20686,Website,Qualified,Other,11-50,11968,Eva Rodriguez,2024-09-03,
LEAD-000215,Costa-Harrison,40510,Website,New,Technology,500+,576913,Eva Rodriguez,2024-06-07,
LEAD-000216,Morris-Garcia,50524,Partner,Qualified,Healthcare,500+,331699,Alice Chen,2024-03-03,
LEAD-000217,Jenkins-Simpson,57219,Cold Outbound,Opportunity,Retail,500+,284859,Alice Chen,2024-09-14,
LEAD-000218,Cervantes-Pierce,28348,Website,Lost,Healthcare,11-50,11133,Alice Chen,2024-06-25,2024-10-08
LEAD-000219,Edwards LLC,84036,Website,Opportunity,Healthcare,201-500,130058,Carol Williams,2024-02-15,
LEAD-000220,Hancock-Bryan,19901,Referral,Qualified,Manufacturing,500+,560075,Eva Rodriguez,2024-01-01,
LEAD-000221,"Booth, Murray and Brown",90028,Referral,Qualified,Finance,500+,792762,Bob Martinez,2024-07-20,
LEAD-000222,Dean-Jimenez,55310,Website,Qualified,Professional Services,11-50,14139,Alice Chen,2024-06-20,
LEAD-000223,Harris PLC,56215,Partner,Qualified,Professional Services,500+,516488,Carol Williams,2024-02-20,
LEAD-000224,Kim-Wolfe,44082,Referral,New,Retail,51-200,37228,Bob Martinez,2024-02-17,
LEAD-000225,Dudley PLC,17301,Referral,Won,Manufacturing,11-50,17344,Carol Williams,2024-11-06,
LEAD-000226,Mckinney LLC,27014,Cold Outbound,New,Technology,11-50,14041,Eva Rodriguez,2024-08-01,
LEAD-000227,Tran Inc,57227,Cold Outbound,Qualified,Other,51-200,77493,Alice Chen,2024-03-28,
LEAD-000228,Murray Inc,13309,Referral,Opportunity,Professional Services,500+,545300,Bob Martinez,2024-09-08,
LEAD-000229,Jimenez Ltd,96056,Referral,New,Technology,51-200,56748,David Johnson,2024-04-23,
LEAD-000230,"Thornton, Perry and Olson",53516,Referral,Opportunity,Finance,201-500,191489,Eva Rodriguez,2024-07-02,
LEAD-000231,Bryant and Sons,23091,Event,Qualified,Retail,51-200,49623,Carol Williams,2024-05-28,
LEAD-000232,Weeks PLC,30273,Website,New,Retail,1-10,4243,David Johnson,2024-10-16,
LEAD-000233,Shields LLC,95637,Event,Qualified,Finance,51-200,52545,Eva Rodriguez,2024-10-27,
LEAD-000234,Morgan-French,54563,Event,Qualified,Technology,1-10,7305,David Johnson,2024-04-13,
LEAD-000235,Campbell LLC,88345,Referral,Qualified,Other,51-200,58681,David Johnson,2024-11-21,
LEAD-000236,"Carpenter, Keller and Grimes",73132,Partner,Lost,Retail,11-50,13451,Eva Rodriguez,2024-06-22,2024-09-29
LEAD-000237,"Washington, Cook and Hines",83520,Website,Opportunity,Technology,11-50,9602,Alice Chen,2024-05-26,
LEAD-000238,Cantu-Kane,97622,Partner,Opportunity,Finance,11-50,24849,Eva Rodriguez,2024-09-27,
