lead_id,company_name,zip_code,lead_source,lead_status,industry,company_size,deal_value,sales_rep,created_date,close_date
LEAD-000053,"Bernard, Cowan and Peters",94664,Event,Qualified,Professional Services,51-200,36936,Eva Rodriguez,2024-07-08,
LEAD-000054,Lee and Sons,08166,Website,Opportunity,Technology,500+,318982,Alice Chen,2024-08-12,
LEAD-000055,"Daniels, Adkins and Brown",77070,Website,Opportunity,Finance,51-200,44351,Alice Chen,2024-07-04,
LEAD-000056,"Calhoun, Schmidt and Brown",67063,Cold Outbound,Qualified,Other,11-50,11723,Bob Martinez,2024-02-01,
LEAD-000057,Jones Inc,89002,Cold Outbound,Opportunity,Finance,51-200,31345,Carol Williams,2024-11-30,
LEAD-000058,Powell PLC,32772,Website,Qualified,Technology,1-10,6293,Eva Rodriguez,2024-08-12,
LEAD-000059,"Williams, Miller and Sandoval",74586,Event,Opportunity,Technology,51-200,54892,Carol Williams,2024-07-22,
LEAD-000060,Donovan-Harris,94373,Event,Won,Retail,51-200,60300,Alice Chen,2024-05-02,2024-08-10
LEAD-000061,Baker and Sons,88540,Website,Qualified,Other,51-200,65051,Carol Williams,2024-09-07,
LEAD-000062,Bryant-Hickman,10009,Referral,Lost,Healthcare,1-10,5398,Eva Rodriguez,2024-01-04,2024-04-16
LEAD-000063,Howell-Hart,13605,Referral,Won,Manufacturing,11-50,19926,Bob Martinez,2024-01-29,2024-04-28
LEAD-000064,"Lewis, Baker and Mahoney",09517,Partner,Opportunity,Professional Services,11-50,7758,David Johnson,2024-12-07,
LEAD-000065,Wood and Sons,57934,Cold Outbound,Opportunity,Finance,51-200,46782,David Johnson,2024-11-19,
LEAD-000066,"Warner, Carr and Archer",86218,Referral,New,Professional Services,201-500,138687,David Johnson,2024-07-24,
LEAD-000067,Contreras PLC,39741,Event,Won,Finance,1-10,3042,David Johnson,2024-12-27,
LEAD-000068,"Garcia, Humphrey and Baker",14530,Website,Won,Other,201-500,121207,David Johnson,2024-10-15,
LEAD-000069,"Moore, Campbell and Clark",45443,Referral,Lost,Finance,1-10,3505,Bob Martinez,2024-03-20,2024-09-12
LEAD-000070,"Walters, Baker and Freeman",07159,Referral,Won,Healthcare,201-500,95166,Bob Martinez,2024-02-05,2024-06-19
LEAD-000071,"Henderson, Hill and Smith",17647,Partner,Opportunity,Manufacturing,11-50,19062,Bob Martinez,2024-09-04,
LEAD-000072,Martin-Ramos,92994,Website,Opportunity,Healthcare,1-10,6769,David Johnson,2024-06-15,
LEAD-000073,"Smith, Jones and Ware",20037,Referral,New,Professional Services,11-50,10779,Eva Rodriguez,2024-07-30,
LEAD-000074,Davenport PLC,72921,Website,Opportunity,Retail,201-500,188414,Eva Rodriguez,2024-02-27,
LEAD-000075,Anderson-Parker,05730,Content,New,Professional Services,11-50,21225,David Johnson,2024-12-15,
LEAD-000076,Clark-Wright,13974,Referral,Opportunity,Manufacturing,500+,785129,Alice Chen,2024-05-17,
LEAD-000077,"Henson, Russell and Oliver",20758,Event,New,Other,11-50,11700,Carol Williams,2024-12-25,
LEAD-000078,Hancock and Sons,54541,Referral,Lost,Professional Services,201-500,204396,Alice Chen,2024-01-10,2024-03-10
LEAD-000079,Doyle LLC,54465,Content,Opportunity,Healthcare,51-200,67185,Alice Chen,2024-11-07,
LEAD-000080,"Shields, Cochran and Adams",92418,Website,Qualified,Technology,500+,368674,Eva Rodriguez,2024-02-11,
LEAD-000081,Brennan-Garrison,29655,Event,New,Professional Services,51-200,39060,Bob Martinez,2024-03-18,
LEAD-000082,Bailey-Hoover,30332,Referral,Won,Technology,11-50,12504,Eva Rodriguez,2024-03-27,2024-09-22
LEAD-000083,Keller Group,43526,Referral,Qualified,Finance,51-200,43712,Alice Chen,2024-04-18,
LEAD-000084,Rasmussen LLC,46526,Referral,Lost,Finance,11-50,17274,Eva Rodriguez,2024-09-06,
LEAD-000085,"Ross, Zavala and Herrera",04118,Website,Qualified,Healthcare,51-200,55063,Bob Martinez,2024-02-14,
LEAD-000086,White-Estes,35296,Website,Opportunity,Finance,11-50,16414,Bob Martinez,2024-01-15,
LEAD-000087,Carlson LLC,95992,Event,Lost,Technology,1-10,5583,Eva Rodriguez,2024-11-01,
LEAD-000088,Graham-Joyce,15658,Content,Lost,Technology,11-50,22066,Bob Martinez,2024-05-29,2024-08-17
LEAD-000089,"Lee, Williams and Graham",68647,Content,New,Other,500+,517949,David Johnson,2024-12-25,
LEAD-000090,"Mcdaniel, Bentley and Mclaughlin",26326,Website,Won,Manufacturing,201-500,204537,Alice Chen,2024-05-21,2024-11-02
LEAD-000091,Jones-Beck,43780,Content,Won,Finance,201-500,212978,Bob Martinez,2024-08-30,2024-11-15
LEAD-000092,Alvarado-Martinez,39864,Website,Opportunity,Manufacturing,11-50,2684,David Johnson,2024-07-15,
LEAD-000093,Estrada-Nguyen,91885,Event,Opportunity,Other,11-50,14271,Carol Williams,2024-04-24,
LEAD-000094,"Martinez, Fisher and Bentley",89278,Referral,Opportunity,Finance,201-500,127879,David Johnson,2024-10-17,
LEAD-000095,Gilbert LLC,53726,Referral,Lost,Professional Services,11-50,19737,Alice Chen,2024-07-31,2024-10-05
LEAD-000096,Torres and Sons,56847,Website,Qualified,Technology,51-200,77236,Bob Martinez,2024-11-01,
LEAD-000097,"Lawson, Morris and Ramos",89056,Referral,Won,Manufacturing,51-200,39740,Alice Chen,2024-03-23,2024-06-07
LEAD-000098,"Kennedy, Santana and Flynn",22742,Cold Outbound,Qualified,Professional Services,1-10,1390,David Johnson,2024-09-12,
LEAD-000099,Campbell Ltd,83461,Event,Qualified,Other,51-200,39265,David Johnson,2024-08-28,
LEAD-000100,Davis-Crane,31285,Event,Won,Retail,11-50,12752,Eva Rodriguez,2024-09-18,2024-12-05
LEAD-000101,Walker-Gonzalez,03702,Content,Won,Manufacturing,1-10,2829,Alice Chen,2024-01-18,2024-05-25
LEAD-000102,Riggs PLC,10046,Website,Qualified,Other,201-500,113731,Bob Martinez,2024-06-25,
LEAD-000103,Mercado-Johnston,94656,Partner,Qualified,Finance,500+,382569,Carol Williams,2024-09-27,
LEAD-000104,Snyder-Sanchez,86491,Website,Lost,Professional Services,51-200,56651,Bob Martinez,2024-09-24,2024-12-22
LEAD-000105,Stafford Inc,56225,Referral,Qualified,Manufacturing,51-200,37570,Alice Chen,2024-03-25,
LEAD-000106,Brock Ltd,68390,Website,Opportunity,Professional Services,11-50,15335,David Johnson,2024-06-29,
LEAD-000107,Grant Inc,60330,Content,Opportunity,Professional Services,500+,540973,David Johnson,2024-02-21,
LEAD-000108,Contreras-Travis,78548,Cold Outbound,Won,Finance,51-200,48563,Bob Martinez,2024-05-03,2024-07-12
LEAD-000109,Salazar-Ball,66663,Referral,New,Finance,51-200,42730,Bob Martinez,2024-06-14,
LEAD-000110,"Griffin, Moore and Hensley",59492,Partner,New,Other,1-10,5042,Carol Williams,2024-04-10,
LEAD-000111,Larsen LLC,68828,Website,New,Finance,1-10,5566,Alice Chen,2024-07-07,
LEAD-000112,"Allen, Gonzales and Reeves",31236,Website,Qualified,Finance,11-50,12657,David Johnson,2024-04-15,
LEAD-000113,Flores-Fernandez,18637,Content,Opportunity,Professional Services,1-10,2777,Eva Rodriguez,2024-02-28,
LEAD-000114,Reyes and Sons,93092,Cold Outbound,Qualified,Professional Services,11-50,16781,Carol Williams,2024-03-24,
LEAD-000115,Perry LLC,71622,Partner,Qualified,Manufacturing,201-500,219208,Carol Williams,2024-06-29,
LEAD-000116,Brown-Wall,51550,Cold Outbound,Won,Professional Services,1-10,4708,Eva Rodriguez,2024-12-17,
LEAD-000117,"Shah, Smith and Gilmore",75957,Referral,Opportunity,Finance,1-10,5193,Bob Martinez,2024-05-27,
LEAD-000118,Smith-Bell,99260,Referral,Opportunity,Healthcare,500+,468932,David Johnson,2024-05-31,
LEAD-000119,Medina-Navarro,79570,Partner,Qualified,Professional Services,1-10,5685,Bob Martinez,2024-12-14,
LEAD-000120,Freeman LLC,57626,Cold Outbound,Qualified,Finance,201-500,109755,David Johnson,2024-07-07,
LEAD-000121,Price Ltd,89517,Cold Outbound,New,Finance,201-500,130054,Eva Rodriguez,2024-11-05,
LEAD-000122,Ramsey-Pittman,17229,Cold Outbound,Qualified,Professional Services,1-10,5747,Bob Martinez,2024-08-29,
LEAD-000123,"Johnson, Long and Elliott",04053,Content,Qualified,Technology,500+,321748,David Johnson,2024-02-02,
LEAD-000124,"Patterson, Camacho and White",34600,Website,Qualified,Healthcare,1-10,5342,Carol Williams,2024-05-27,
LEAD-000125,Lewis-Murphy,50193,Website,Opportunity,Professional Services,51-200,52420,Carol Williams,2024-04-18,
LEAD-000126,King-Miller,03041,Referral,Won,Finance,1-10,6178,David Johnson,2024-10-17,
LEAD-000127,"Williams, Crane and Walker",09494,Referral,Won,Manufacturing,51-200,49592,Carol Williams,2024-10-30,
LEAD-000128,"Williams, Johnson and Wright",03172,Event,Won,Healthcare,1-10,4251,Alice Chen,2024-08-29,2024-10-18
LEAD-000129,Allen Group,88248,Partner,New,Healthcare,51-200,25876,David Johnson,2024-02-14,
LEAD-000130,"Gould, Marshall and Scott",48852,Event,Won,Other,201-500,177059,David Johnson,2024-03-06,2024-05-26
LEAD-000131,"Lawson, Adkins and Wilson",21966,Website,Won,Manufacturing,1-10,3532,Alice Chen,2024-04-30,2024-10-01
LEAD-000132,Lane LLC,75971,Content,New,Other,51-200,29090,Eva Rodriguez,2024-09-20,
LEAD-000133,Sanders-Espinoza,10462,Website,Won,Technology,1-10,6067,Bob Martinez,2024-08-17,2024-10-12
LEAD-000134,"Rivas, Sanchez and Terry",40030,Cold Outbound,Opportunity,Finance,11-50,19143,Carol Williams,2024-11-26,
LEAD-000135,"Burke, Martinez and Riggs",05884,Event,Opportunity,Manufacturing,1-10,5735,Alice Chen,2024-05-14,
LEAD-000136,"Patterson, Wood and Hunter",45226,Partner,Qualified,Healthcare,51-200,37688,Eva Rodriguez,2024-01-05,
LEAD-000137,Short-Garcia,47973,Partner,Opportunity,Retail,11-50,4406,Bob Martinez,2024-09-03,
LEAD-000138,Zimmerman-Graham,96681,Referral,Won,Healthcare,11-50,16050,Eva Rodriguez,2024-07-21,
LEAD-000139,"Nelson, Morton and Medina",63873,Partner,Opportunity,Technology,201-500,144762,Bob Martinez,2024-06-29,
LEAD-000140,Petersen-Vargas,42746,Partner,Won,Professional Services,51-200,78414,Alice Chen,2024-11-26,
LEAD-000141,Rivas Inc,37060,Cold Outbound,Lost,Finance,11-50,21148,Alice Chen,2024-12-08,
LEAD-000142,Sanchez-Marshall,80498,Event,New,Technology,1-10,7481,Alice Chen,2024-09-16,
LEAD-000143,Rogers-Snyder,43101,Website,Qualified,Professional Services,201-500,113989,Carol Williams,2024-03-11,
LEAD-000144,Lewis-Salinas,45109,Cold Outbound,Qualified,Healthcare,500+,495453,Bob Martinez,2024-04-18,
LEAD-000145,"Haynes, Hill and Smith",25543,Referral,New,Technology,201-500,116758,Eva Rodriguez,2024-02-03,
LEAD-000146,Cortez Group,73269,Website,Opportunity,Retail,11-50,12142,Carol Williams,2024-10-21,
LEAD-000147,Vaughn Ltd,93803,Website,Opportunity,Other,201-500,146252,David Johnson,2024-07-09,
LEAD-000148,Mcguire-Davis,29546,Website,New,Finance,1-10,7082,Carol Williams,2024-06-06,
LEAD-000149,"Sanchez, Beck and Wood",73045,Referral,Won,Other,201-500,115638,Carol Williams,2024-07-25,2024-09-25
LEAD-000150,Coleman-Reese,43858,Partner,Opportunity,Other,11-50,9101,David Johnson,2024-05-16,
LEAD-000151,"Chavez, Parker and Hall",95041,Referral,Opportunity,Finance,11-50,11650,Carol Williams,2024-03-15,
LEAD-000152,Wilson-Herrera,90962,Website,Qualified,Retail,51-200,36759,David Johnson,2024-03-12,
LEAD-000153,Robinson Group,36742,Website,New,Manufacturing,201-500,80664,Carol Williams,2024-10-08,
LEAD-000154,"Bray, Warren and Campbell",13677,Content,New,Other,1-10,3140,David Johnson,2024-11-19,
LEAD-000155,Phillips LLC,24020,Website,Qualified,Retail,11-50,15138,Carol Williams,2024-04-27,
LEAD-000156,Erickson and Sons,36455,Website,Opportunity,Professional Services,500+,639195,David Johnson,2024-01-18,
LEAD-000157,Tran Ltd,17052,Partner,Opportunity,Other,51-200,10998,David Johnson,2024-09-04,
LEAD-000158,Garcia-Smith,37769,Referral,Qualified,Professional Services,51-200,50508,Bob Martinez,2024-07-01,
LEAD-000159,Alexander-Lopez,07235,Cold Outbound,Qualified,Manufacturing,500+,513079,David Johnson,2024-04-08,
LEAD-000160,Wilson-Jones,64955,Cold Outbound,Opportunity,Technology,51-200,43605,David Johnson,2024-01-29,
LEAD-000161,"Soto, Brown and Hernandez",74273,Event,Qualified,Technology,51-200,50447,David Johnson,2024-04-27,
LEAD-000162,Mcknight Inc,73648,Cold Outbound,Opportunity,Professional Services,11-50,16590,Bob Martinez,2024-10-23,
LEAD-000163,Obrien-Gibbs,30082,Cold Outbound,New,Manufacturing,11-50,17520,Eva Rodriguez,2024-10-28,
LEAD-000164,"James, Kerr and Evans",77640,Cold Outbound,New,Finance,201-500,170158,David Johnson,2024-06-15,
LEAD-000165,Carroll-Brown,97505,Partner,New,Professional Services,201-500,258828,David Johnson,2024-02-08,
LEAD-000166,Garrett LLC,87064,Referral,New,Healthcare,11-50,18509,David Johnson,2024-02-01,
LEAD-000167,Allen PLC,10339,Event,Qualified,Professional Services,500+,120103,Bob Martinez,2024-03-01,
LEAD-000168,Ortiz Ltd,78333,Referral,New,Other,11-50,12049,David Johnson,2024-07-01,
LEAD-000169,Johnson-Roberts,37557,Website,Qualified,Professional Services,1-10,8241,David Johnson,2024-09-30,
LEAD-000170,Jones-Hall,35176,Website,Opportunity,Healthcare,500+,515331,Eva Rodriguez,2024-11-01,
LEAD-000171,"Lawrence, Lara and Gonzalez",15544,Event,New,Finance,1-10,5374,Bob Martinez,2024-07-30,
LEAD-000172,Holland LLC,19144,Event,New,Technology,201-500,129044,Eva Rodriguez,2024-01-28,
LEAD-000173,Martin LLC,78494,Referral,Lost,Professional Services,500+,559532,David Johnson,2024-10-17,
LEAD-000174,"Morse, Gonzales and Harrison",40358,Cold Outbound,New,Finance,500+,686986,Carol Williams,2024-09-28,
LEAD-000175,Bender-Mason,65223,Content,Opportunity,Retail,1-10,3653,Alice Chen,2024-06-19,
LEAD-000176,George Group,96777,Referral,Lost,Finance,51-200,65373,David Johnson,2024-05-05,2024-10-20
LEAD-000177,"Wright, Davis and Hayden",75893,Partner,Qualified,Retail,11-50,15295,Alice Chen,2024-08-16,
LEAD-000178,Key Ltd,35826,Partner,Won,Healthcare,51-200,55919,David Johnson,2024-08-11,2024-09-24
LEAD-000179,Hines and Sons,62170,Website,Opportunity,Finance,11-50,12613,Eva Rodriguez,2024-07-20,
LEAD-000180,"Ramos, Ramirez and Shea",57633,Cold Outbound,Opportunity,Professional Services,51-200,33869,Alice Chen,2024-09-03,
LEAD-000181,Costa-Harrison,54024,Referral,Won,Other,11-50,12112,David Johnson,2024-05-09,2024-11-03
LEAD-000182,Santiago-Hodge,43729,Partner,New,Technology,51-200,17620,David Johnson,2024-06-08,
LEAD-000183,"Simpson, Bates and Morales",72603,Referral,Qualified,Technology,51-200,33735,Alice Chen,2024-01-15,
LEAD-000184,Miller-King,15695,Referral,Won,Other,51-200,23317,David Johnson,2024-10-27,2024-11-30
LEAD-000185,Hancock-Bryan,00651,Referral,Qualified,Manufacturing,1-10,4383,Carol Williams,2024-09-12,
LEAD-000186,"Murray, Brown and Stone",82110,Cold Outbound,Opportunity,Manufacturing,51-200,55530,Eva Rodriguez,2024-10-20,
LEAD-000187,Garrett-Wolf,27181,Referral,Opportunity,Other,11-50,11646,David Johnson,2024-04-13,
LEAD-000188,"Anderson, Roberts and Gilmore",64033,Website,Opportunity,Manufacturing,51-200,40874,Alice Chen,2024-02-17,
LEAD-000189,Dudley PLC,31866,Referral,Lost,Other,51-200,61033,Eva Rodriguez,2024-10-02,2024-12-27
LEAD-000190,Collins Inc,72885,Website,New,Finance,51-200,70078,Eva Rodriguez,2024-06-07,
LEAD-000191,Walker Inc,60983,Referral,Qualified,Manufacturing,11-50,11774,Eva Rodriguez,2024-02-15,
LEAD-000192,"Collier, Jimenez and Moran",67199,Referral,Won,Healthcare,11-50,8977,Bob Martinez,2024-09-30,
LEAD-000193,Perry-Olson,62395,Partner,New,Finance,51-200,42643,Bob Martinez,2024-04-04,
LEAD-000194,Arnold-Reyes,79062,Website,Won,Manufacturing,201-500,152698,Bob Martinez,2024-07-16,2024-12-20
LEAD-000195,"Suarez, Shields and Hill",54888,Cold Outbound,Lost,Professional Services,11-50,7938,David Johnson,2024-05-11,2024-10-20
LEAD-000196,"Adams, Smith and Barber",77432,Referral,Won,Other,11-50,10501,Bob Martinez,2024-08-13,2024-11-25
LEAD-000197,"Burns, Hernandez and Ryan",45737,Event,New,Healthcare,11-50,14000,Eva Rodriguez,2024-05-09,
LEAD-000198,"Hines, Bennett and Cantu",25228,Referral,Opportunity,Technology,11-50,18500,Carol Williams,2024-09-27,
LEAD-000199,Armstrong and Sons,54342,Referral,Lost,Technology,51-200,71301,Bob Martinez,2024-01-17,2024-06-28
LEAD-000200,Garner-Thornton,50469,Website,Opportunity,Other,1-10,4992,Eva Rodriguez,2024-05-29,
LEAD-000201,"Sparks, Pearson and Hernandez",05353,Website,Qualified,Healthcare,51-200,49375,Alice Chen,2024-02-19,
LEAD-000202,"Sanford, Rivera and Garcia",58212,Website,Opportunity,Professional Services,11-50,10889,Alice Chen,2024-02-08,
LEAD-000203,"Lozano, Smith and Thomas",86324,Event,New,Healthcare,11-50,18547,Alice Chen,2024-02-29,
LEAD-000204,Harrison LLC,44876,Website,Qualified,Healthcare,11-50,21290,Bob Martinez,2024-08-30,
LEAD-000205,"Sanders, Miller and Murphy",88890,Website,Qualified,Technology,11-50,13274,Alice Chen,2024-11-29,
LEAD-000206,"James, Stewart and Higgins",64457,Cold Outbound,Lost,Finance,500+,505486,Eva Rodriguez,2024-12-04,
LEAD-000207,"Johnson, Jones and Welch",38168,Referral,Opportunity,Technology,11-50,11579,Eva Rodriguez,2024-03-29,
LEAD-000208,"Davis, Good and Hodges",92761,Event,Opportunity,Healthcare,11-50,11663,Carol Williams,2024-12-04,
LEAD-000209,Wallace Ltd,39752,Referral,New,Retail,11-50,11989,Eva Rodriguez,2024-12-16,
LEAD-000210,Williams Inc,38953,Website,Qualified,Healthcare,51-200,38900,Bob Martinez,2024-05-19,
LEAD-000211,Jordan-Sanchez,54509,Partner,Opportunity,Technology,500+,532775,David Johnson,2024-08-07,
LEAD-000212,"Sparks, Jackson and Miller",50641,Referral,Opportunity,Healthcare,11-50,5752,Carol Williams,2024-08-28,
LEAD-000213,"Allen, Durham and Thomas",60944,Content,Opportunity,Healthcare,11-50,12316,Eva Rodriguez,2024-09-04,
LEAD-000214,Stevens-Estrada,61482,Referral,Opportunity,Healthcare,500+,411862,David Johnson,2024-12-15,
LEAD-000215,Byrd-Moore,58399,Referral,Opportunity,Other,11-50,23769,Eva Rodriguez,2024-05-14,
LEAD-000216,"Evans, Hayden and Vaughn",60379,Partner,Opportunity,Professional Services,51-200,56001,Bob Martinez,2024-11-24,
LEAD-000217,Gonzalez-Cruz,63836,Content,Opportunity,Other,11-50,14715,Eva Rodriguez,2024-02-11,
LEAD-000218,James LLC,75842,Partner,Qualified,Retail,11-50,14766,Bob Martinez,2024-04-24,
LEAD-000219,"Phillips, Spence and Barrett",36477,Content,Opportunity,Retail,201-500,153653,David Johnson,2024-01-04,
LEAD-000220,"Grimes, Osborne and Beltran",79983,Website,Qualified,Professional Services,51-200,1000,David Johnson,2024-10-16,
LEAD-000221,Wall-Leach,30663,Website,Qualified,Manufacturing,201-500,252708,Eva Rodriguez,2024-08-23,
LEAD-000222,Robinson-Lee,33351,Website,Opportunity,Manufacturing,201-500,86500,Alice Chen,2024-09-20,
LEAD-000223,"Saunders, Becker and Taylor",13236,Website,Qualified,Professional Services,51-200,47357,Eva Rodriguez,2024-12-16,
LEAD-000224,"Lucas, Parker and Alexander",76466,Website,New,Other,11-50,13441,Bob Martinez,2024-05-21,
LEAD-000225,"Anderson, Browning and Murphy",54961,Website,Qualified,Manufacturing,51-200,70836,Alice Chen,2024-03-09,
LEAD-000226,Anderson PLC,48454,Partner,Won,Other,500+,620344,Eva Rodriguez,2024-07-25,2024-12-08
LEAD-000227,"Mcintyre, Rivas and Scott",63657,Referral,New,Finance,1-10,6001,Eva Rodriguez,2024-11-09,
LEAD-000228,Francis-Morgan,15596,Website,Qualified,Manufacturing,11-50,17180,Bob Martinez,2024-06-30,
LEAD-000229,Taylor and Sons,89148,Website,New,Manufacturing,51-200,44572,Bob Martinez,2024-10-08,
LEAD-000230,"Whitney, Coffey and Ballard",48443,Website,Opportunity,Technology,201-500,210024,Carol Williams,2024-02-05,
LEAD-000231,Smith-Herrera,60110,Referral,Opportunity,Manufacturing,11-50,13226,Alice Chen,2024-05-23,
LEAD-000232,"Curry, Baker and James",84196,Website,Opportunity,Finance,51-200,31155,Eva Rodriguez,2024-05-24,
LEAD-000233,Leonard Group,03781,Referral,Opportunity,Healthcare,11-50,15356,David Johnson,2024-08-28,
LEAD-000234,"Murphy, Bishop and Holland",83784,Partner,Qualified,Manufacturing,1-10,7109,Eva Rodriguez,2024-11-15,
LEAD-000235,Blankenship-Turner,54017,Website,Qualified,Other,51-200,44791,Eva Rodriguez,2024-02-15,
LEAD-000236,Williams Inc,40394,Referral,Won,Other,1-10,3913,Bob Martinez,2024-07-10,2024-10-29
LEAD-000237,Davis PLC,18282,Cold Outbound,Qualified,Retail,500+,533471,Eva Rodriguez,2024-05-30,
